timestamp,latency_ms
1756294311.9954941,390.1
1756294313.5776749,421.82
1756294313.580736,421.18
1756294313.5815148,421.76
1756294313.9679048,429.16
1756294314.0195317,430.13
1756294315.4030728,458.92
1756294315.4061797,457.58
1756294315.4069052,458.12
1756294315.9317832,468.07
1756294316.4763098,478.47
1756294317.4212315,497.17
1756294317.4485455,497.84
1756294317.4492738,498.35
1756294317.960983,508.0
1756294318.0135014,509.73
1756294319.3570907,-102.03
1756294319.363635,-101.66
1756294319.3950477,-100.99
1756294319.906813,-91.42
1756294320.0098495,-88.78
1756294321.3556168,-64.78
1756294321.3890686,-38.95
1756294321.3920956,-64.55
1756294321.9033372,-54.15
1756294322.0076447,-50.62
1756294323.3566325,-27.83
1756294323.3883708,-27.34
1756294323.3906362,-28.22
1756294323.899129,-18.18
1756294324.0013194,-16.48
1756294325.3846314,36.38
1756294325.3910422,11.67
1756294325.3981535,18.53
1756294325.9001365,22.76
1756294325.998909,20.25
1756294327.3804786,45.76
1756294327.3832037,45.43
1756294327.3839965,46.03
1756294327.8974545,57.73
1756294327.999822,62.66
1756294329.3777277,129.76
1756294329.3809695,129.23
1756294329.3818045,129.89
1756294329.8932843,154.09
1756294330.0014558,159.25
1756294331.3750436,225.97
1756294331.3793917,225.81
1756294331.3801796,226.4
1756294331.8939855,249.89
1756294332.0019257,255.49
1756294333.371753,314.72
1756294333.3751733,314.87
1756294333.3760011,315.46
1756294333.894538,324.28
1756294334.0043237,326.64
1756294335.3686578,351.48
1756294335.372367,351.84
1756294335.373159,352.47
1756294335.894929,360.79
1756294336.029802,388.76
1756294337.363563,388.14
1756294337.3676236,388.2
1756294337.371611,387.79
1756294337.923533,424.3
1756294338.0296657,400.61
1756294339.364105,425.55
1756294339.371369,425.83
1756294339.3755395,426.72
1756294339.9233592,436.08
1756294340.0260012,438.44
1756294341.3651338,462.94
1756294341.3686795,462.51
1756294341.3743913,462.66
1756294341.9259553,480.07
1756294342.0219862,475.2
1756294343.3655417,499.96
1756294343.369382,499.88
1756294343.4013531,526.83
1756294343.9152684,510.52
1756294344.017385,512.21
1756294345.3658621,536.03
1756294345.3976912,562.16
1756294345.4014885,536.72
1756294345.9122312,545.53
1756294346.0130544,546.98
1756294347.365998,570.79
1756294347.3957667,571.22
1756294347.3983629,571.02
1756294347.9086342,580.82
1756294348.009722,581.99
1756294349.3993871,-108.64
1756294349.402348,-114.51
1756294349.4031634,-113.87
1756294349.9102776,-104.96
1756294350.0114639,-103.68
1756294351.3895142,-78.74
1756294351.395583,-77.81
1756294351.396598,-76.98
